Financial_Year,YOT,Region,PCC,England_Wales,Age_Group,Ethnicity_Group,Sex,Number_Children
2013-14,Barking and Dagenham,London,London,England,10 to 14,Black,Girls,3
2013-14,Barking and Dagenham,London,London,England,10 to 14,White,Girls,3
2013-14,Barking and Dagenham,London,London,England,10 to 14,Asian,Boys,2
2013-14,Barking and Dagenham,London,London,England,10 to 14,Black,Boys,10
2013-14,Barking and Dagenham,London,London,England,10 to 14,Mixed,Boys,1
2013-14,Barking and Dagenham,London,London,England,10 to 14,Other,Boys,2
2013-14,Barking and Dagenham,London,London,England,10 to 14,White,Boys,22
2013-14,Barking and Dagenham,London,London,England,15 to 17,Black,Girls,1
2013-14,Barking and Dagenham,London,London,England,15 to 17,Mixed,Girls,3
2013-14,Barking and Dagenham,London,London,England,15 to 17,Other,Girls,1
2013-14,Barking and Dagenham,London,London,England,15 to 17,White,Girls,12
2013-14,Barking and Dagenham,London,London,England,15 to 17,Asian,Boys,9
2013-14,Barking and Dagenham,London,London,England,15 to 17,Black,Boys,34
2013-14,Barking and Dagenham,London,London,England,15 to 17,Mixed,Boys,12
2013-14,Barking and Dagenham,London,London,England,15 to 17,Other,Boys,8
2013-14,Barking and Dagenham,London,London,England,15 to 17,White,Boys,79
2013-14,Barnet,London,London,England,10 to 14,Black,Girls,1
2013-14,Barnet,London,London,England,10 to 14,Other,Girls,2
2013-14,Barnet,London,London,England,10 to 14,Unknown,Girls,3
2013-14,Barnet,London,London,England,10 to 14,White,Girls,2
2013-14,Barnet,London,London,England,10 to 14,Asian,Boys,1
2013-14,Barnet,London,London,England,10 to 14,Black,Boys,9
2013-14,Barnet,London,London,England,10 to 14,Mixed,Boys,4
2013-14,Barnet,London,London,England,10 to 14,Other,Boys,5
2013-14,Barnet,London,London,England,10 to 14,Unknown,Boys,5
2013-14,Barnet,London,London,England,10 to 14,White,Boys,9
2013-14,Barnet,London,London,England,15 to 17,Black,Girls,2
2013-14,Barnet,London,London,England,15 to 17,Mixed,Girls,3
2013-14,Barnet,London,London,England,15 to 17,Unknown,Girls,6
2013-14,Barnet,London,London,England,15 to 17,White,Girls,6
2013-14,Barnet,London,London,England,15 to 17,Asian,Boys,12
2013-14,Barnet,London,London,England,15 to 17,Black,Boys,34
2013-14,Barnet,London,London,England,15 to 17,Mixed,Boys,12
2013-14,Barnet,London,London,England,15 to 17,Other,Boys,10
2013-14,Barnet,London,London,England,15 to 17,Unknown,Boys,18
2013-14,Barnet,London,London,England,15 to 17,White,Boys,38
2013-14,Barnet,London,London,England,15 to 17,Unknown,Unknown,1
2013-14,Barnsley,Yorkshire,South Yorkshire,England,10 to 14,Mixed,Girls,1
2013-14,Barnsley,Yorkshire,South Yorkshire,England,10 to 14,White,Girls,12
