YOT,Ethnicity,Gender,Age_Group,#Quarter,Freq
Barking and Dagenham,Black or Black British,Female,10 to 14,Apr - Jun 2017,1
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Apr - Jun 2017,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Apr - Jun 2017,2
Barking and Dagenham,Mixed,Male,10 to 14,Apr - Jun 2017,2
Barking and Dagenham,White,Male,10 to 14,Apr - Jun 2017,3
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Apr - Jun 2017,3
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Apr - Jun 2018,2
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Apr - Jun 2019,4
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Jan - Mar 2018,3
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Jan - Mar 2020,3
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Jul - Sep 2017,4
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Jul - Sep 2018,1
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Jul - Sep 2019,4
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Oct - Dec 2017,5
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Oct - Dec 2018,2
Barking and Dagenham,Asian or Asian British,Male,15 to 18,Oct - Dec 2019,2
Barking and Dagenham,Black or Black British,Male,15 to 18,Apr - Jun 2017,11
Barking and Dagenham,Black or Black British,Male,15 to 18,Apr - Jun 2018,15
Barking and Dagenham,Black or Black British,Female,15 to 18,Apr - Jun 2019,2
Barking and Dagenham,Black or Black British,Male,15 to 18,Apr - Jun 2019,11
Barking and Dagenham,Black or Black British,Female,15 to 18,Jan - Mar 2018,1
Barking and Dagenham,Black or Black British,Male,15 to 18,Jan - Mar 2018,10
Barking and Dagenham,Black or Black British,Female,15 to 18,Jan - Mar 2019,2
Barking and Dagenham,Black or Black British,Male,15 to 18,Jan - Mar 2019,7
Barking and Dagenham,Black or Black British,Female,15 to 18,Jan - Mar 2020,1
Barking and Dagenham,Black or Black British,Male,15 to 18,Jan - Mar 2020,5
Barking and Dagenham,Black or Black British,Female,15 to 18,Jul - Sep 2017,1
Barking and Dagenham,Black or Black British,Male,15 to 18,Jul - Sep 2017,8
Barking and Dagenham,Black or Black British,Female,15 to 18,Jul - Sep 2018,1
Barking and Dagenham,Black or Black British,Male,15 to 18,Jul - Sep 2018,7
Barking and Dagenham,Black or Black British,Female,15 to 18,Jul - Sep 2019,2
Barking and Dagenham,Black or Black British,Male,15 to 18,Jul - Sep 2019,12
Barking and Dagenham,Black or Black British,Male,15 to 18,Oct - Dec 2017,15
Barking and Dagenham,Black or Black British,Male,15 to 18,Oct - Dec 2018,12
Barking and Dagenham,Black or Black British,Female,15 to 18,Oct - Dec 2019,2
Barking and Dagenham,Black or Black British,Male,15 to 18,Oct - Dec 2019,11
Barking and Dagenham,Mixed,Male,15 to 18,Apr - Jun 2017,5
Barking and Dagenham,Mixed,Male,15 to 18,Apr - Jun 2018,3
Barking and Dagenham,Mixed,Male,15 to 18,Apr - Jun 2019,2
Barking and Dagenham,Mixed,Male,15 to 18,Jan - Mar 2018,2
Barking and Dagenham,Mixed,Male,15 to 18,Jan - Mar 2019,3
Barking and Dagenham,Mixed,Male,15 to 18,Jul - Sep 2017,4
Barking and Dagenham,Mixed,Male,15 to 18,Jul - Sep 2018,6
Barking and Dagenham,Mixed,Male,15 to 18,Jul - Sep 2019,1
Barking and Dagenham,Mixed,Male,15 to 18,Oct - Dec 2017,2
Barking and Dagenham,Mixed,Male,15 to 18,Oct - Dec 2018,3
Barking and Dagenham,Mixed,Male,15 to 18,Oct - Dec 2019,4
Barking and Dagenham,Other Ethnic Group,Male,15 to 18,Apr - Jun 2017,2
Barking and Dagenham,Other Ethnic Group,Male,15 to 18,Apr - Jun 2018,2
Barking and Dagenham,Other Ethnic Group,Male,15 to 18,Jan - Mar 2019,3
Barking and Dagenham,Other Ethnic Group,Male,15 to 18,Jan - Mar 2020,2
Barking and Dagenham,Other Ethnic Group,Female,15 to 18,Jul - Sep 2018,1
Barking and Dagenham,Other Ethnic Group,Male,15 to 18,Jul - Sep 2018,1
Barking and Dagenham,Unknown Ethnicity,Female,15 to 18,Jan - Mar 2020,1
Barking and Dagenham,Unknown Ethnicity,Male,15 to 18,Jan - Mar 2020,1
Barking and Dagenham,Unknown Ethnicity,Male,15 to 18,Oct - Dec 2018,1
Barking and Dagenham,Unknown Ethnicity,Male,15 to 18,Oct - Dec 2019,2
Barking and Dagenham,White,Female,15 to 18,Apr - Jun 2017,5
Barking and Dagenham,White,Male,15 to 18,Apr - Jun 2017,16
Barking and Dagenham,White,Female,15 to 18,Apr - Jun 2018,2
Barking and Dagenham,White,Male,15 to 18,Apr - Jun 2018,18
Barking and Dagenham,White,Female,15 to 18,Apr - Jun 2019,3
Barking and Dagenham,White,Male,15 to 18,Apr - Jun 2019,14
Barking and Dagenham,White,Male,15 to 18,Jan - Mar 2018,16
Barking and Dagenham,White,Female,15 to 18,Jan - Mar 2019,3
Barking and Dagenham,White,Male,15 to 18,Jan - Mar 2019,11
Barking and Dagenham,White,Female,15 to 18,Jan - Mar 2020,2
Barking and Dagenham,White,Male,15 to 18,Jan - Mar 2020,7
Barking and Dagenham,White,Female,15 to 18,Jul - Sep 2017,4
Barking and Dagenham,White,Male,15 to 18,Jul - Sep 2017,18
Barking and Dagenham,White,Female,15 to 18,Jul - Sep 2018,1
Barking and Dagenham,White,Male,15 to 18,Jul - Sep 2018,12
Barking and Dagenham,White,Female,15 to 18,Jul - Sep 2019,3
Barking and Dagenham,White,Male,15 to 18,Jul - Sep 2019,10
Barking and Dagenham,White,Female,15 to 18,Oct - Dec 2017,1
Barking and Dagenham,White,Male,15 to 18,Oct - Dec 2017,12
Barking and Dagenham,White,Female,15 to 18,Oct - Dec 2018,4
Barking and Dagenham,White,Male,15 to 18,Oct - Dec 2018,16
Barking and Dagenham,White,Female,15 to 18,Oct - Dec 2019,2
Barking and Dagenham,White,Male,15 to 18,Oct - Dec 2019,12
Barking and Dagenham,White,Female,10 to 14,Apr - Jun 2018,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Apr - Jun 2018,2
Barking and Dagenham,Mixed,Male,10 to 14,Apr - Jun 2018,1
Barking and Dagenham,White,Male,10 to 14,Apr - Jun 2018,3
Barking and Dagenham,Black or Black British,Female,10 to 14,Apr - Jun 2019,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Apr - Jun 2019,4
Barking and Dagenham,Mixed,Male,10 to 14,Apr - Jun 2019,1
Barking and Dagenham,Unknown Ethnicity,Male,10 to 14,Apr - Jun 2019,1
Barking and Dagenham,White,Male,10 to 14,Apr - Jun 2019,3
Barking and Dagenham,Other Ethnic Group,Female,10 to 14,Jan - Mar 2018,1
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Jan - Mar 2018,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Jan - Mar 2018,1
Barking and Dagenham,White,Male,10 to 14,Jan - Mar 2018,7
Barking and Dagenham,White,Female,10 to 14,Jan - Mar 2019,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Jan - Mar 2019,1
Barking and Dagenham,White,Male,10 to 14,Jan - Mar 2019,4
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Jan - Mar 2020,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Jan - Mar 2020,2
Barking and Dagenham,White,Male,10 to 14,Jan - Mar 2020,3
Barking and Dagenham,White,Female,10 to 14,Jul - Sep 2017,1
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Jul - Sep 2017,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Jul - Sep 2017,3
Barking and Dagenham,Mixed,Male,10 to 14,Jul - Sep 2017,1
Barking and Dagenham,White,Male,10 to 14,Jul - Sep 2017,5
Barking and Dagenham,White,Female,10 to 14,Jul - Sep 2018,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Jul - Sep 2018,1
Barking and Dagenham,White,Male,10 to 14,Jul - Sep 2018,2
Barking and Dagenham,Mixed,Female,10 to 14,Jul - Sep 2019,1
Barking and Dagenham,White,Female,10 to 14,Jul - Sep 2019,4
Barking and Dagenham,Black or Black British,Male,10 to 14,Jul - Sep 2019,3
Barking and Dagenham,White,Male,10 to 14,Jul - Sep 2019,5
Barking and Dagenham,Other Ethnic Group,Female,10 to 14,Oct - Dec 2017,1
Barking and Dagenham,White,Female,10 to 14,Oct - Dec 2017,1
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Oct - Dec 2017,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Oct - Dec 2017,3
Barking and Dagenham,Other Ethnic Group,Male,10 to 14,Oct - Dec 2017,1
Barking and Dagenham,White,Male,10 to 14,Oct - Dec 2017,5
Barking and Dagenham,Asian or Asian British,Male,10 to 14,Oct - Dec 2018,1
Barking and Dagenham,Black or Black British,Male,10 to 14,Oct - Dec 2018,1
