YOT,2013,2014,2015,2016,2017,2018,2019
Barking and Dagenham,21089,21461,22021,22570,23635,24694,25313
Barnet,34710,34923,35326,36198,37209,38350,39615
Barnsley,21318,21046,20849,20859,21052,21589,21982
Bath and North East Somerset,15463,15345,15282,15398,15760,16018,16371
Bedfordshire,40916,40799,40806,41412,41977,43068,44155
Bexley,24003,23808,23745,23779,24004,24399,24693
Birmingham,116819,116929,117343,118718,119924,121498,122952
Blackburn with Darwen,16528,16323,16289,16381,16559,16753,17129
Blackpool,12673,12485,12307,12145,12079,12161,12494
Blaenau Gwent and Caerphilly,23519,23239,22673,22558,22602,22738,23028
Bolton,28219,27884,27743,27850,28067,28400,29033
Bracknell Forest,11588,11700,11872,11964,12127,12447,12881
Bradford,57991,57893,58476,59336,59944,61111,62299
Brent,28856,29181,29276,29826,30488,30864,30900
Bridgend,13130,13025,12853,12784,12827,12891,12870
Brighton and Hove,21288,21532,21614,21862,22037,22524,22498
Bristol,34437,34779,34983,35341,36019,36871,37610
Bromley,29624,29721,29705,30161,30557,31233,31751
Buckinghamshire,52033,52181,52439,53038,53814,54966,56496
Bury and Rochdale,39564,39219,39007,39288,39728,40629,41365
Calderdale,19863,19737,19597,19776,19870,19997,20340
Cambridgeshire,55888,55906,56182,56491,56889,58063,59406
Camden,16183,17191,18131,19114,20130,21377,22397
Cardiff,29419,29245,29082,29404,29882,30714,31584
Carmarthenshire,16937,16597,16437,16473,16601,16923,17040
Ceredigion,5766,5762,5698,5628,5582,5613,5626
"Cheshire East, Cheshire West, Halton and Warrington",94499,93808,93245,93590,94252,95860,97544
Conwy and Denbighshire,18790,18493,18215,18124,18142,18344,18482
Cornwall and Isles of Scilly,47702,47275,46775,46844,47309,47831,48806
Coventry,29091,29090,29159,29898,30632,31755,32704
Croydon,37174,37100,37346,38010,38596,39334,39979
Cumbria,43160,42296,41657,41437,41547,41988,42490
Cwm Taf,27099,26747,26345,26501,26521,26928,27520
Darlington,9793,9790,9712,9729,9749,9887,10147
Derby,23508,23628,23710,24040,24576,25336,25835
Derbyshire,70693,69581,68554,68317,67997,68534,69487
Devon,64527,63758,63221,63565,64369,65537,66735
Doncaster,27605,27329,27215,27338,27662,28447,29360
Dorset Combined YOS,63384,62914,62629,62683,63053,64141,65315
Dudley,29638,29300,29300,29372,29609,30079,30528
Durham,43857,43239,42937,42888,43163,44030,44849
Ealing,30820,30716,31139,31627,31947,32662,33132
East Riding of Yorkshire,29767,29273,28856,28748,28695,29201,29443
East Sussex,48006,47856,47320,47286,47479,48105,48701
Enfield,32844,32972,33231,33840,34476,35229,35771
Essex,131673,131039,130670,131358,131977,134172,136778
Flintshire,14215,14049,13973,14019,14091,14478,14729
Gateshead,17587,17197,16875,16952,17051,17122,17421
Gloucestershire,55186,55062,54892,55058,55337,56312,57255
Greenwich,23716,23757,24211,25045,25594,26380,27055
Gwynedd and Ynys Mon,16224,16128,15815,15954,16107,16326,16635
Hackney,22297,22579,23061,23662,24244,24818,25155
Hammersmith and Fulham,11954,12035,12390,12791,13461,14086,14558
Hampshire,125033,123738,123173,123539,123973,125760,127268
Haringey,24027,24196,24608,25076,24784,24826,24779
Harrow,23391,23456,23493,23442,23467,23845,24396
Hartlepool,8868,8624,8517,8618,8711,8752,8902
Havering,23095,22883,22867,23031,23256,23661,24170
Hertfordshire,109638,109996,109987,111018,112903,115374,117999
Hillingdon,27056,27290,27657,27939,28464,29112,29849
Hounslow,22417,22479,22813,23304,23820,24664,25415
Isle of Wight,12301,11947,11617,11600,11462,11376,11346
Islington,14793,15040,15343,15650,15966,16616,16938
Kensington and Chelsea,10152,10523,10908,11283,11482,11706,12006
Kent,145297,144803,144192,144640,146034,149135,152528
Kingston and Richmond,29784,30439,31333,32199,33034,34394,35866
Kingston-upon-Hull,21943,21717,21464,21627,21914,22605,23231
Kirklees,41980,41808,41902,42214,42594,43362,44080
Knowsley,14284,13899,13680,13661,13633,13771,13861
Lambeth,23476,23449,23873,24278,24581,25011,25434
Lancashire,107326,106551,106018,106744,107398,109648,111454
Leeds,64433,64126,64225,65116,65831,67405,69065
Leicester City,31949,32173,32374,33103,33545,34161,34932
Leicestershire,64773,64395,64276,64547,65298,66576,67669
Lewisham,24238,24415,24666,25245,25570,26269,26587
Lincolnshire,64096,63106,62246,62370,62208,63004,64064
Liverpool,38098,37228,36724,36728,37113,37669,38444
Luton,21321,21400,21820,22070,22236,22776,23089
Manchester,43124,43362,44101,45455,46667,47861,49109
Medway,26989,26909,26740,26812,26769,27033,27546
Merton,16497,16699,16850,16961,17516,17948,18326
Milton Keynes,25251,25521,25757,26299,27029,27995,29032
Monmouthshire and Torfaen,17617,17203,16719,16595,16596,16705,16941
Neath Port Talbot,12548,12401,12360,12299,12277,12428,12524
Newcastle-upon-Tyne,23140,23160,22939,22991,23452,23985,24419
Newham,31560,31535,31862,32373,32685,33347,33356
